timesteps,reward
20000,349.55
30000,199.35
40000,444.8
50000,336.5
60000,480.8
70000,424.2
80000,382.6
90000,424.55
100000,444.1
110000,453.95
120000,352.05
130000,326.55
140000,390.9
150000,361.95
160000,502.55
170000,402.85
180000,415.55
190000,331.75
200000,493.65
210000,433.9
220000,431.35
230000,402.95
240000,410.95
250000,397.15
260000,389.35
270000,475.2
280000,364.55
290000,444.45
300000,394.1
310000,438.1
320000,414.95
330000,362.3
340000,424.15
350000,431.6
360000,380.95
370000,414.95
380000,492.8
390000,361.35
400000,420.85
410000,511.45
420000,443
430000,478.4
440000,449.9
450000,495.95
460000,470.05
470000,535.5
480000,477
490000,437.55
500000,411.6
510000,384.9
520000,420.45
530000,425
540000,466.1
550000,541.4
560000,505.55
570000,505.95
580000,503.85
590000,450.45
600000,374.4
610000,498.1
620000,483.6
630000,511.9
640000,529.95
650000,451.1
660000,409.7
670000,465.85
680000,536.8
690000,439.2
700000,539.85
710000,506
720000,542.95
730000,541
740000,508.35
750000,506.6
760000,614.2
770000,526.1
780000,493.05
790000,544.65
800000,568.25
810000,433.5
820000,618.35
830000,748.85
840000,617.15
850000,548.9
860000,640.95
870000,576.4
880000,494.4
890000,614.75
900000,586
910000,705.5
920000,502
930000,518.55
940000,680.35
950000,519
960000,464.8
970000,720.15
980000,641.3
990000,552.4
1000000,692.35
1010000,591.75
1020000,699.85
1030000,644.1
1040000,630.5
1050000,697.8
1060000,764.65
1070000,716.7
1080000,586.7
1090000,654.35
1100000,530.45
1110000,752.75
1120000,855.85
1130000,613.75
1140000,668.55
1150000,754.35
1160000,673.05
1170000,687.3
1180000,842.9
1190000,687.2
1200000,584.75
1210000,658.95
1220000,720.85
1230000,519
1240000,601
1250000,437.4
1260000,639.4
1270000,358.35
1280000,697
1290000,453.1
1300000,651.9
1310000,533.55
1320000,650.15
1330000,659.9
1340000,438.45
1350000,795.55
1360000,641
1370000,532.35
1380000,546.4
1390000,542.5
1400000,659
1410000,552.5
1420000,611.2
1430000,631.25
1440000,595.9
1450000,597.95
1460000,675.25
1470000,425.9
1480000,336.3
1490000,704.7
1500000,624.85
1510000,591.35
1520000,391.85
1530000,553.2
1540000,482.3
1550000,660.1
1560000,679.55
1570000,592.1
1580000,858.75
1590000,538.9
1600000,512.65
1610000,745.95
1620000,352.25
1630000,682.2
1640000,482.3
1650000,555.7
1660000,658.8
1670000,745.4
1680000,619.85
1690000,582.75
1700000,412.2
1710000,475.8
1720000,608.9
1730000,522.55
1740000,488.25
1750000,462.9
1760000,549.15
1770000,396.2
1780000,426.7
1790000,328.5
1800000,397.35
1810000,505.5
1820000,611.85
1830000,381.45
1840000,657.1
1850000,594.9
1860000,671.1
1870000,574.9
1880000,606.65
1890000,505.35
1900000,358.65
1910000,456.3
1920000,534.95
1930000,649.45
1940000,572.35
1950000,629.7
1960000,488.7
1970000,762.8
1980000,601.05
1990000,738.35
2000000,774
2010000,503.6
